# task_id,arrival_time,scheduled_time,number_of_operations,id_machine,deadline,end_time,memory,power
24032,0,0,1.55194e+09,CPU2_730,0,172.438,2208,50
47107,0,0,5.43459e+08,CPU2_729,0,60.3843,1904,50
47376,0,0,1.38517e+09,CPU2_728,0,153.908,1269,50
47443,0,0,1.85427e+09,CPU2_727,0,206.03,1187,50
47580,0,0,4.22614e+08,CPU2_726,0,46.9571,3089,50
48420,0,0,1.49695e+09,CPU2_725,0,166.327,2437,50
48903,0,0,1.96506e+09,CPU2_724,0,218.34,2505,50
209,0,0,1.74498e+09,CPU2_723,0,193.886,2192,50
1635,0,0,1.84959e+09,SW2_9,0,1.68145,261,4
6403,0,0,8.45424e+08,CPU2_722,0,93.9361,2694,50
25220,0,0,5.60475e+08,CPU2_721,0,62.275,1212,50
25324,0,0,1.9877e+09,CPU2_720,0,220.855,2702,50
25471,0,0,1.99809e+09,SW4_23,0,1.78401,738,5
25645,0,0,3.91746e+08,CPU2_719,0,43.5274,3071,50
25887,0,0,1.46899e+09,SW2_8,0,1.33544,185,4
25941,0,0,1.92892e+09,CPU2_718,0,214.325,1676,50
26183,0,0,1.69593e+09,CPU2_717,0,188.437,1021,50
26328,0,0,1.21378e+08,SW2_7,0,0.110343,186,4
26462,0,0,1.8484e+09,CPU2_716,0,205.378,3153,50
3410,0,0,6.91552e+08,CPU2_715,0,76.8391,1910,50
6754,0,0,2.89915e+08,CPU2_714,0,32.2127,1786,50
26679,0,0,8.28771e+08,SW2_6,0,0.753428,156,4
26876,0,0,1.39017e+08,SW2_5,0,0.126379,323,4
26987,0,0,1.74236e+09,CPU2_713,0,193.596,1165,50
27020,0,0,3.97978e+07,CPU2_712,0,4.42198,1489,50
13601,0,0,1.36642e+09,CPU2_711,0,151.824,1701,50
27136,0,0,2.14362e+09,CPU2_710,0,238.18,1287,50
27203,0,0,8.69099e+08,CPU2_709,0,96.5666,2882,50
27212,0,0,3.84096e+08,CPU2_708,0,42.6773,3004,50
13760,0,0,1.30993e+09,SW2_4,0,1.19084,127,4
27498,0,0,1.29623e+09,CPU2_707,0,144.026,1138,50
27629,0,0,2.04495e+09,SW2_3,0,1.85905,88,4
13999,0,0,1.12685e+09,SW2_2,0,1.02441,415,4
27681,0,0,6.47513e+08,SW2_1,0,0.588648,107,4
27840,0,0,3.08598e+08,SW2_0,0,0.280544,181,4
14205,0,0,4.90317e+08,CPU2_706,0,54.4797,2647,50
28585,0,0,5.46036e+08,CPU2_705,0,60.6706,1376,50
1803,0,0,1.98e+09,CPU2_704,0,220,1356,50
3756,0,0,6.04539e+08,CPU2_703,0,67.171,2720,50
14410,0,0,5.6801e+08,CPU2_702,0,63.1122,2927,50
28909,0,0,1.23293e+09,SW4_22,0,1.10083,42,5
14653,0,0,1.06085e+09,CPU2_701,0,117.873,1880,50
14724,0,0,1.88387e+08,CPU2_700,0,20.9319,1298,50
29453,0,0,4.37532e+08,CPU2_699,0,48.6146,2286,50
7569,0,0,1.71637e+09,SW4_21,0,1.53247,195,5
7610,0,0,5.53096e+08,CPU2_698,0,61.4551,3157,50
15182,0,0,5.99645e+08,CPU2_697,0,66.6272,2926,50
4031,0,0,1.26284e+09,CPU2_696,0,140.315,2137,50
7683,0,0,3.20428e+08,CPU2_695,0,35.6031,1696,50
15870,0,0,1.82704e+09,CPU2_694,0,203.005,1713,50
31402,0,0,1.61056e+09,CPU2_693,0,178.952,2589,50
31802,0,0,5.72347e+07,SW4_20,0,0.0511024,123,5
31966,0,0,1.86152e+09,CPU2_692,0,206.836,2381,50
32160,0,0,8.77684e+08,CPU2_691,0,97.5204,2757,50
32180,0,0,1.67234e+09,CPU2_690,0,185.816,1354,50
32410,0,0,5.65553e+08,CPU2_689,0,62.8392,2381,50
33360,0,0,1.65603e+09,CPU2_688,1,184.004,1424,50
33655,0,0,1.24654e+09,CPU2_687,1,138.505,2940,50
33671,0,0,2.14292e+09,CPU2_686,1,238.102,2564,50
33733,0,0,6.36831e+08,SW4_19,1,0.568599,13,5
16913,0,0,4.60018e+08,CPU2_685,1,51.1131,1929,50
33839,0,0,4.89312e+08,CPU2_684,1,54.368,3129,50
17106,0,0,8.1991e+08,SW4_18,1,0.732063,981,5
34243,0,0,2.12733e+09,CPU2_683,1,236.37,1379,50
34319,0,0,2.11338e+09,CPU2_682,1,234.82,1832,50
34419,0,0,1.3222e+09,CPU2_681,1,146.912,2308,50
34501,0,0,1.98167e+09,SW4_17,1,1.76935,721,5
4537,0,0,1.83939e+09,SW4_16,1,1.64231,229,5
17338,0,0,1.44309e+09,SW4_15,1,1.28848,505,5
34753,0,0,1.15786e+09,CPU2_680,1,128.651,2091,50
34769,0,0,2.13955e+09,CPU2_679,1,237.727,1447,50
8829,0,0,1.81259e+09,CPU2_678,1,201.399,1640,50
34873,0,0,1.68997e+09,CPU2_677,1,187.774,2316,50
17463,0,0,1.23929e+09,CPU2_676,1,137.699,2513,50
17562,0,0,3.79963e+08,CPU2_675,1,42.2181,3105,50
8768,0,0,4.01693e+07,CPU2_674,1,4.46326,2699,50
35226,0,0,1.47716e+09,CPU2_673,1,164.129,2238,50
35702,0,0,8.35601e+08,CPU2_672,1,92.8446,2723,50
8866,0,0,7.53571e+08,SW4_14,1,0.672831,550,5
17914,0,0,2.92018e+08,SW4_13,1,0.26073,174,5
35770,0,0,1.48619e+09,CPU2_671,1,165.133,1873,50
36023,0,0,6.2431e+08,CPU2_670,1,69.3677,1909,50
18159,0,0,8.54281e+08,CPU2_669,1,94.9201,3042,50
36154,0,0,1.60787e+09,CPU2_668,1,178.652,3003,50
8715,0,0,2.02905e+09,CPU2_667,1,225.451,1594,50
18191,0,0,4.98153e+08,SW4_12,1,0.44478,153,5
36653,0,0,1.3321e+09,CPU2_666,1,148.011,3039,50
18372,0,0,4.44103e+08,CPU2_665,1,49.3447,2092,50
18491,0,0,1.89174e+09,SW4_11,1,1.68906,590,5
37157,0,0,4.82596e+08,CPU2_664,1,53.6217,2764,50
37661,0,0,2.98356e+08,CPU2_663,1,33.1507,1280,50
2334,0,0,2.03033e+09,SW4_10,1,1.81279,394,5
38072,0,0,1.71041e+09,SW4_9,1,1.52715,596,5
1270,0,0,9.36007e+08,CPU2_662,1,104.001,2511,50
38492,0,0,1.24956e+09,CPU2_661,1,138.84,1104,50
38567,0,0,8.82526e+08,CPU2_660,1,98.0585,2937,50
2391,0,0,1.23043e+09,CPU2_659,1,136.714,2279,50
38699,0,0,6.56755e+08,CPU2_658,1,72.9728,2107,50
4846,0,0,9.47765e+08,CPU2_657,1,105.307,1682,50
38741,0,0,1.35404e+09,SW4_8,1,1.20897,920,5
19422,0,0,1.1207e+09,CPU2_656,1,124.522,1412,50
19483,0,0,1.19027e+09,CPU2_655,1,132.253,2946,50
39020,0,0,1.95602e+09,CPU2_654,1,217.335,1154,50
9932,0,0,1.79564e+09,CPU2_653,1,199.516,2464,50
39247,0,0,6.87376e+08,CPU2_652,1,76.3752,2988,50
39347,0,0,1.10998e+09,CPU2_651,1,123.331,1249,50
19853,0,0,1.94113e+09,CPU2_650,1,215.681,2876,50
39698,0,0,1.44657e+09,SW4_7,1,1.29158,364,5
20067,0,0,1.22764e+09,SW4_6,1,1.09611,113,5
40387,0,0,7.17226e+08,CPU2_649,1,79.6918,1210,50
40409,0,0,1.79055e+09,CPU2_648,1,198.95,2576,50
40442,0,0,1.64622e+08,CPU2_647,1,18.2913,2120,50
10176,0,0,4.27316e+08,SW4_5,1,0.381532,870,5
20242,0,0,1.94414e+09,CPU2_646,1,216.016,1805,50
20252,0,0,1.13597e+08,CPU2_645,1,12.6219,1957,50
40503,0,0,1.62337e+09,CPU2_644,1,180.374,1074,50
40600,0,0,9.40195e+08,SW4_4,1,0.83946,720,5
40902,0,0,1.36011e+09,CPU2_643,1,151.123,2296,50
40908,0,0,1.96256e+09,CPU2_642,1,218.062,2516,50
659,0,0,5.38638e+08,CPU2_641,1,59.8487,1501,50
20702,0,0,1.49979e+08,SW4_3,1,0.13391,659,5
10421,0,0,3.44581e+08,CPU2_640,1,38.2868,1313,50
20740,0,0,7.3977e+08,CPU2_639,1,82.1967,1925,50
41473,0,0,3.7275e+08,CPU2_638,1,41.4167,1129,50
41544,0,0,1.11285e+09,SW4_2,1,0.993613,277,5
10371,0,0,1.77793e+08,CPU2_637,1,19.7547,1033,50
652,0,0,2.08219e+08,SW4_1,1,0.18591,380,5
5300,0,0,3.25e+08,SW4_0,1,0.290178,554,5
21205,0,0,3.84767e+08,SW5_49,1,0.295975,421,7
10630,0,0,2.07618e+09,CPU2_636,1,230.686,2226,50
42538,0,0,1.87411e+09,CPU2_635,1,208.234,1930,50
43578,0,0,6.30576e+07,CPU2_634,1,7.0064,1155,50
44132,0,0,5.91655e+08,CPU2_633,1,65.7394,1336,50
44198,0,0,1.78008e+09,CPU2_632,1,197.786,1359,50
44271,0,0,1.06736e+09,CPU2_631,1,118.595,960,50
44534,0,0,2.10389e+08,CPU2_630,1,23.3765,2943,50
11150,0,0,2.12378e+09,CPU2_629,1,235.976,1952,50
11228,0,0,7.98385e+08,CPU2_628,1,88.7094,2879,50
5494,0,0,4.69049e+08,SW5_48,1,0.360807,214,7
11248,0,0,1.5584e+09,CPU2_627,1,173.155,2610,50
44994,0,0,1.88337e+09,SW5_47,1,1.44875,469,7
161,0,0,2.56923e+08,CPU2_626,1,28.547,1413,50
709,0,0,1.40782e+09,CPU2_625,1,156.425,1737,50
45377,0,0,1.64704e+09,SW6_59,1,1.64667,790,13
22873,0,0,1.41469e+08,CPU2_624,1,15.7188,1361,50
45602,0,0,1.34631e+09,CPU2_623,1,149.59,2578,50
11398,0,0,4.82728e+08,SW6_58,1,0.482619,807,13
11521,0,0,1.35459e+09,SW5_46,1,1.04199,506,7
23157,0,0,1.32438e+09,CPU2_622,1,147.154,1339,50
46248,0,0,2.01939e+09,CPU2_621,1,224.376,2665,50
11655,0,0,3.27304e+08,CPU2_620,1,36.3671,2023,50
5869,0,0,3.59176e+08,CPU2_619,1,39.9084,2265,50
23382,0,0,7.07171e+08,CPU2_618,1,78.5745,1243,50
11693,0,0,6.99378e+08,CPU2_617,1,77.7086,1054,50
46821,0,0,1.38967e+09,CPU2_616,1,154.408,2896,50
46832,0,0,1.30987e+08,CPU2_615,1,14.5542,1585,50
11729,0,0,6.93277e+08,SW5_45,1,0.53329,150,7
47002,0,0,6.92133e+08,CPU2_614,1,76.9037,2830,50
47010,0,0,1.56762e+09,CPU2_613,1,174.18,1595,50
11797,0,0,1.76108e+09,CPU2_612,1,195.676,3039,50
23621,0,0,5.21257e+07,CPU2_611,1,5.79174,1367,50
23724,0,0,1.53655e+09,CPU2_610,1,170.728,1166,50
2952,0,0,1.7017e+09,CPU2_609,1,189.078,2928,50
5931,0,0,1.39646e+09,CPU2_608,1,155.162,3190,50
11916,0,0,1.66043e+08,CPU2_607,1,18.4493,1654,50
48087,0,0,8.42937e+07,CPU2_606,1,9.36596,3035,50
