# task_id,arrival_time,scheduled_time,number_of_operations,id_machine,deadline,end_time,memory,power
46965,0,20.2607,1.71764e+09,SW4_32,21,21.7943,730,5
47685,0,0,5.33939e+08,CPU5_1907,21,59.3266,1809,102
11921,0,20.2662,2.06396e+09,SW4_14,21,22.109,421,5
47796,0,0,6.02797e+08,CPU5_1906,21,66.9774,1170,102
24037,0,0,1.83457e+08,CPU5_1905,21,20.3841,1722,102
24164,0,0,9.43487e+08,CPU5_1904,21,104.832,1505,102
48575,0,20.306,9.98944e+08,SW4_9,21,21.198,865,5
6095,0,0,2.09859e+09,CPU5_1903,21,233.177,1628,102
48784,0,0,7.73454e+07,CPU5_1902,21,8.59393,1929,102
48866,0,20.3133,1.35182e+08,SW4_38,21,20.434,935,5
24592,0,0,4.95925e+08,CPU5_1901,21,55.1028,2982,102
49253,0,0,1.53399e+09,CPU5_1900,21,170.443,2284,102
24648,0,0,1.92377e+09,CPU5_1899,21,213.753,1777,102
49355,0,0,1.93491e+07,CPU5_1898,21,2.1499,3185,102
49364,0,0,1.66358e+09,CPU5_1897,21,184.842,1151,102
24793,0,0,1.40249e+09,CPU5_1896,21,155.832,2908,102
24935,0,0,1.34078e+09,CPU5_1895,21,148.976,1352,102
25104,0,0,8.37137e+08,CPU5_1894,21,93.0152,1255,102
6290,0,0,7.58833e+08,CPU5_1893,21,84.3148,2476,102
25292,0,0,2.83041e+08,CPU5_1892,21,31.4489,1343,102
25614,0,0,6.86639e+08,CPU5_1891,21,76.2932,2901,102
25767,0,20.3223,1.89663e+09,SW4_34,21,22.0157,208,5
3254,0,0,1.50468e+09,CPU5_1890,21,167.187,2033,102
26104,0,0,1.94375e+09,CPU5_1889,21,215.972,1625,102
26242,0,0,1.93065e+09,CPU5_1888,21,214.517,2968,102
26413,0,0,7.98555e+08,CPU5_1887,21,88.7283,1941,102
3326,0,20.3244,5.15206e+08,SW4_29,21,20.7844,176,5
832,0,0,7.1793e+08,CPU5_1886,21,79.77,2707,102
26778,0,0,1.80278e+08,CPU5_1885,21,20.0309,1751,102
26894,0,0,2.14038e+08,CPU5_1884,21,23.782,1717,102
26964,0,0,3.59509e+08,CPU5_1883,21,39.9454,1732,102
13541,0,0,5.8166e+07,CPU5_1882,21,6.46288,1723,102
27458,0,0,8.6359e+08,CPU5_1881,21,95.9544,3112,102
7004,0,0,1.96774e+09,CPU5_1880,21,218.637,2228,102
28010,0,20.3424,4.14783e+08,SW4_13,21,20.7128,549,5
28069,0,0,5.60522e+08,CPU5_1879,21,62.2802,2923,102
14421,0,0,4.74258e+08,CPU5_1878,21,52.6954,2301,102
29024,0,0,6.79937e+08,CPU5_1877,21,75.5485,1649,102
3663,0,20.3924,6.76511e+08,SW4_16,21,20.9964,569,5
14783,0,0,1.80426e+09,CPU5_1876,21,200.473,2901,102
29683,0,0,8.07464e+08,CPU5_1875,21,89.7183,1009,102
14861,0,20.434,4.71057e+08,SW4_38,21,20.8546,894,5
29939,0,0,1.52725e+09,CPU5_1874,21,169.694,3136,102
7487,0,0,1.09224e+09,CPU5_1873,21,121.36,1714,102
30077,0,0,4.29848e+08,CPU5_1872,21,47.7609,2482,102
15044,0,20.4531,1.997e+08,SW4_27,21,20.6314,872,5
15051,0,0,7.71246e+08,CPU5_1871,21,85.694,2150,102
30458,0,20.468,1.32803e+09,SW4_12,21,21.6537,589,5
15388,0,20.4696,3.1486e+08,SW4_31,21,20.7507,363,5
30786,0,20.4804,1.77764e+09,SW4_11,21,22.0676,974,5
15437,0,20.4823,4.01097e+08,SW4_23,21,20.8404,129,5
1958,0,20.5181,1.10738e+09,SW4_21,21,21.5068,254,5
7852,0,0,3.50664e+08,CPU5_1870,21,38.9627,2691,102
15712,0,0,1.91912e+09,CPU5_1869,21,213.235,1321,102
7888,0,0,3.25335e+08,CPU5_1868,21,36.1483,2770,102
31771,0,0,1.23095e+09,CPU5_1867,21,136.773,2302,102
8015,0,0,5.07897e+08,CPU5_1866,21,56.433,1570,102
16138,0,0,1.94109e+09,CPU5_1865,21,215.677,1378,102
